,celebrity_previous_seasons,partner_previous_seasons,celebrity_gender,ballroom_partner_gender
0,0,0,male,female
1,0,1,female,male
2,0,2,male,female
3,0,3,female,male
4,0,4,male,female
5,0,5,female,male
6,0,6,female,male
7,0,7,female,male
8,0,8,male,female
9,0,9,female,male
10,0,0,female,male
11,0,1,male,female
12,0,2,female,male
13,0,3,male,female
14,0,4,male,female
15,0,0,male,female
16,0,1,male,female
17,0,2,female,male
18,0,3,female,male
19,0,0,male,female
20,0,0,male,female
21,0,0,male,female
22,0,1,female,male
23,0,2,female,male
24,0,3,female,male
25,0,4,male,female
26,0,5,male,female
27,1,6,male,female
28,0,7,male,female
29,0,8,male,female
30,0,9,female,male
31,0,10,male,female
32,0,0,female,male
33,0,1,female,male
34,0,2,female,male
35,0,3,male,female
36,0,4,male,female
37,0,5,female,male
38,0,6,male,female
39,0,7,female,male
40,0,8,female,male
41,0,9,female,male
42,0,10,male,female
43,0,11,female,male
44,0,0,male,female
45,0,1,male,female
46,0,2,female,male
47,0,3,male,female
48,0,0,female,male
49,0,1,male,female
50,1,2,male,female
51,0,3,male,female
52,0,4,female,male
53,0,5,female,male
54,0,6,female,male
55,0,7,female,male
56,0,0,male,female
57,0,0,female,male
58,0,1,female,male
59,0,2,male,female
60,0,3,male,female
61,0,4,male,female
62,0,5,male,female
63,0,0,female,male
64,0,0,female,male
65,0,1,male,female
66,0,2,female,male
67,0,3,male,female
68,0,4,male,female
69,0,5,male,female
70,0,6,male,male
71,0,0,male,female
72,0,1,female,male
73,0,2,male,female
74,0,3,female,male
75,0,4,male,female
76,0,5,female,male
77,0,6,male,female
78,0,7,male,female
79,0,8,male,female
80,0,9,male,male
81,0,10,male,female
82,0,11,female,male
83,0,12,male,female
84,0,13,female,male
85,0,14,male,female
86,0,15,female,male
87,0,16,female,male
88,0,17,female,female
89,0,18,female,male
90,0,19,female,male
91,0,20,male,female
92,0,21,male,female
93,0,22,female,male
94,0,23,male,female
95,0,24,male,female
96,0,0,female,male
97,0,1,female,male
98,0,0,male,female
99,0,0,female,male
100,0,1,male,female
101,0,2,female,male
102,0,3,male,female
103,0,4,female,male
104,0,5,male,female
105,0,0,female,male
106,0,1,female,male
107,0,2,male,female
108,0,3,male,female
109,0,4,male,female
110,0,5,female,male
111,0,6,female,male
112,1,7,female,male
113,0,8,female,male
114,0,9,male,female
115,0,10,male,female
116,0,11,female,male
117,0,12,female,female
118,0,13,female,male
119,0,14,male,female
