celebrity_name,ballroom_partner,season,yt_video_id,yt_video_title,yt_channel_title,yt_view_count,yt_like_count,yt_comment_count,yt_publish_date,is_official_channel,confidence_score,query_used,crawl_timestamp
Kelly Monaco,Alec Mazo,1,-pnRxE2TFEw,Kelly Monaco   Val   Passodoble   DWTS Allstars Week 3   YouTube,dancingbiz,581,4,2,2012-10-09T02:10:45Z,False,25,"""Kelly Monaco""",2026-01-31T14:16:47.837196
Kelly Monaco,Alec Mazo,1,flpPKW4esNY,Kelly Monaco's Final Dance - Dancing With The Stars .,dolasco ,19598,112,5,2012-11-28T06:28:44Z,False,35,"""Kelly Monaco""",2026-01-31T14:16:47.837196
Kelly Monaco,Alec Mazo,1,RhTjI-JHxTU,Kelly Monaco - Why I decided to do it again - Week 1 Results show - DWTS-15.,dolasco ,4982,39,1,2012-10-01T01:02:10Z,False,0,"""Kelly Monaco""",2026-01-31T14:16:47.837196
Kelly Monaco,Alec Mazo,1,y4jDF4tcZTk,"Hot! Kelly Monaco appears at DWTS, rumors of a signed contract are true | General Hospital Spoilers",Hospital General,4228,75,12,2025-11-12T21:15:03Z,False,25,"""Kelly Monaco""",2026-01-31T14:16:47.838508
Kelly Monaco,Alec Mazo,1,iOWHc7YkN2M,The Daily Buzz: DWTS Kelly Monaco Rehearsal,CELEBUZZ,5848,36,0,2012-10-15T18:23:28Z,False,25,"""Kelly Monaco""",2026-01-31T14:16:47.839517
Kelly Monaco,Alec Mazo,1,6-iEGRksQ4c,Kelly Monaco and Val Chmerkovskiy   Surfer Flamingo   Dancing with the Stars All Stars Semifinals,Dancing with the Stars,1464,15,1,2014-01-23T17:37:46Z,True,85,"""Kelly Monaco""",2026-01-31T14:16:47.839517
Kelly Monaco,Alec Mazo,1,hTklADgMlSA,DWTS Kelly Monaco & Alec Mazo Quickstep (Dance-Off),58facets808,7603,20,1,2010-04-12T17:28:14Z,False,50,"""Kelly Monaco""",2026-01-31T14:16:47.840519
Kelly Monaco,Alec Mazo,1,5l1F00glr2c,CONTEMPORARY-Kelly Monaco's Fourth Dance - DWTS,dolasco ,417,1,0,2012-10-16T14:37:54Z,False,35,"""Kelly Monaco""",2026-01-31T14:16:47.841522
Kelly Monaco,Alec Mazo,1,hSxm5QlufuQ,DWTS Kelly Monaco & Alec Mazo Samba (Week 4),58facets808,263446,498,53,2010-03-19T22:31:03Z,False,40,"""Kelly Monaco""",2026-01-31T14:16:47.841522
Kelly Monaco,Alec Mazo,1,ek0QgH3YouU,DWTS Kelly Monaco & Alec Mazo Freestyle (Finals),58facets808,56704,169,15,2010-09-07T07:32:38Z,False,40,"""Kelly Monaco""",2026-01-31T14:16:47.842524
Kelly Monaco,Alec Mazo,1,PI0WRh6QIN0,Kelly Monaco & Val Louis - Jive - DWTS (Allstars Trio Dance),dancingbiz,19319,100,3,2012-11-13T03:22:41Z,False,35,"""Kelly Monaco""",2026-01-31T14:16:47.842524
Tia Carrere,Maksim Chmerkoskiy,2,vLvVyxCFoeQ,Tango - Tia Carrere and Maks - Dancing with the Stars 2,Petr Kindlmann,116038,338,28,2008-02-10T19:01:42Z,False,35,"""Tia Carrere""",2026-01-31T14:16:51.494316
Stacy Keibler,Tony Dovolani,2,n6rddH_oWnM,DWTS Stacy Keibler & Tony Dovolani Samba (Week 5),58facets808,208470,564,76,2010-04-13T17:32:31Z,False,40,"""Stacy Keibler""",2026-01-31T14:16:53.044031
Drew Lachey,Cheryl Burke,2,lZmtoTRYJ0o,Drew Lachey &  Anna - Cha Cha - DWTS (Allstars Week 3),dancingbiz,446,2,0,2012-10-09T02:06:52Z,False,25,"""Drew Lachey""",2026-01-31T14:16:55.105366
Drew Lachey,Cheryl Burke,2,2l6i9GY05-w,"Drew Lachey's First Dance, ""Foxtrot"" DWTS 15-Week 1.",dolasco ,3065,11,3,2012-09-25T05:44:31Z,False,35,"""Drew Lachey""",2026-01-31T14:16:55.106474
