celebrity_name,fans_sum,ballroom_partner,fans_sum
John O'Hurley,6,Charlotte Jorgensen,102
Kelly Monaco,0,Alec Mazo,0
Evander Holyfield,1300000,Edyta Sliwinska,508
Rachel Hunter,140000,Jonathan Roberts,0
Joey McIntyre,1,Ashly DelGrosso,0
Trista Sutter,98000,Louis van Amstel,75000
Tatum O'Neal,4350,Nick Kosovich,0
Tia Carrere,440000,Maksim Chmerkoskiy,0
George Hamilton,0,Tony Dovolani,190000
Lisa Rinna,740000,Anna Trebunskaya,180000
Stacy Keibler,1040000,Cheryl Burke,640000
Jerry Rice,340000,Andrea Hale,977
Giselle Fernandez,0,Karina Smirnoff,2150000
Master P,2960000,Jesse DeSoto,0
Drew Lachey,37000,Kym Johnson,0
Kenny Mayne,0,Elena Grinenko,6415
Harry Hamlin,26,Julianne Hough,1670000
Vivica A. Fox,1660000,Brian Fortuna,0
Monique Coleman,330000,Mark Ballas,330000
Joey Lawrence,370000,Derek Hough,1560000
Mario Lopez,1290000,Fabian Sanchez,0
Emmitt Smith,1340000,Inna Brayer,0
Shanna Moakler,620000,Corky Ballas,7709
Willa Ford,1,Lacey Schwimmer,0
Sara Evans,2290000,Chelsie Hightower,2380000
Jerry Springer,6810000,Dmitry Chaplin,220000
Tucker Carlson,3350000,Anna Demidova,0
John Ratzenberger,22000,Damian Whitewood,0
Ian Ziering,180000,Valentin Chmerkovskiy,510000
Clyde Drexler,1134,Peta Murgatroyd,0
Laila Ali,4160000,Tristan MacManus,0
Apolo Anton Ohno,9393,Lindsay Arnold,800000
Shandi Finnessey,0,Sharna Burgess,170000
Paulina Porizkova,18000,Gleb Savchenko,0
Heather Mills,9926,Sasha Farber,55000
Billy Ray Cyrus,2030000,Tyne Stecklein,1915
Joey Fatone,260000,Henry Byalikov,260000
Leeza Gibbons,110000,Allison Holker,310000
Cameron Mathison,170000,Artem Chigvintsev,280000
Jane Seymour,680000,Keo Motsepe,30000
Sabrina Bryan,150000,Jenna Johnson,12000
Jennie Garth,670000,Kym Herjavec,170000
Floyd Mayweather Jr. ,14950000,Brandon Armstrong,8182
Josie Maran,170000,Pasha Pashkov,12000
Albert Reed,0,Britt Stewart,16000
Helio Castroneves,100000,Daniella Karagach,100000
Mel B,650000,Koko Iwasaki,0
Wayne Newton,0,Rylee Arnold,0
Marie Osmond,1020000,Ezra Sosa,0
Mark Cuban,1570000,Alan Bersten,250000
Cristian de la Fuente,2666,Emma Slater,260000
Steve Guttenberg,39000,Witney Carson,1190000
Priscilla Presley,990000,Val Chmerkovskiy,510000
Marlee Matlin,260000,Jan Ravnik,0
Shannon Elizabeth,670000,,
Marissa Jaret Winokur,28000,,
Jason Taylor,64000,,
Kristi Yamaguchi,100000,,
Monica Seles,0,,
Penn Jillette,24000,,
Adam Carolla,910000,,
Mario,4430000,,
Ted McGinley,2,,
Cloris Leachman,8380,,
Susan Lucci,240000,,
Cody Linley,320000,,
Misty May-Treanor,570000,,
Maurice Greene,0,,
Warren Sapp,150000,,
Jeffrey Ross,0,,
Toni Braxton,6740000,,
Lance Bass,440000,,
Kim Kardashian,34720000,,
Rocco DiSpirito,440000,,
Brooke Burke,540000,,
Gilles Marini,747,,
Denise Richards,990000,,
David Alan Grier,0,,
Lawrence Taylor,6072,,
Ty Murray,430000,,
Shawn Johnson,1680000,,
Steve Wozniak,4220,,
Belinda Carlisle,540000,,
Chuck Wicks,24,,
Lil' Kim,5390000,,
Steve-O,14660000,,
Holly Madison,2620000,,
Melissa Rycroft,350000,,
Ashley Hamiliton,2940000,,
Debi Mazar,29000,,
Melissa Joan Hart,1900000,,
Mark Dacascos,690000,,
